Date,Open,High,Low,Close*,Adj Close**,Volume
7/12/2022,"1,734.20",1735.50,1723.30,1723.30,1723.30,451.00
7/11/2022,"1,732.50",1736.70,1730.00,1730.00,1730.00,75.00
7/8/2022,"1,738.10",1749.30,1732.10,1740.60,1740.60,370.00
7/7/2022,"1,745.20",1745.20,1737.00,1737.90,1737.90,1869.00
7/6/2022,"1,762.50",1768.00,1734.00,1734.90,1734.90,1729.00
7/5/2022,"1,805.40",1805.40,1761.80,1761.80,1761.80,64.00
7/1/2022,"1,795.50",1806.10,1791.60,1798.90,1798.90,77.00
6/30/2022,"1,809.60",1817.30,1801.00,1804.10,1804.10,328.00
6/29/2022,"1,818.30",1830.30,1812.80,1813.70,1813.70,173.00
6/28/2022,"1,824.20",1826.00,1817.50,1817.50,1817.50,391.00
6/27/2022,"1,830.50",1830.70,1819.90,1820.90,1820.90,77.00
6/24/2022,"1,820.50",1826.50,1815.80,1826.50,1826.50,61.00
6/23/2022,"1,835.50",1841.20,1825.70,1825.70,1825.70,9.00
6/22/2022,"1,829.50",1842.70,1821.60,1834.30,1834.30,115.00
6/21/2022,"1,835.30",1838.60,1830.10,1834.60,1834.60,216.00
6/17/2022,"1,853.70",1853.70,1833.60,1835.60,1835.60,170.00
6/16/2022,"1,819.20",1850.60,1814.90,1845.70,1845.70,136.00
6/15/2022,"1,814.10",1839.00,1810.80,1815.30,1815.30,108.00
6/14/2022,"1,825.00",1825.50,1805.30,1809.50,1809.50,536.00
6/13/2022,"1,873.80",1873.80,1818.70,1828.00,1828.00,127.00
6/10/2022,"1,842.70",1875.60,1823.90,1871.50,1871.50,1490.00
6/9/2022,"1,846.10",1850.10,1837.90,1848.80,1848.80,159.00
6/8/2022,"1,844.80",1855.00,1844.40,1851.90,1851.90,218.00
6/7/2022,"1,836.90",1851.60,1835.00,1847.50,1847.50,1168.00
6/6/2022,"1,849.00",1854.10,1839.20,1839.20,1839.20,142.00
6/3/2022,"1,867.60",1871.80,1845.40,1845.40,1845.40,53.00
6/2/2022,"1,845.40",1868.70,1842.10,1866.50,1866.50,551.00
6/1/2022,"1,831.00",1847.90,1825.30,1843.30,1843.30,1623.00
5/31/2022,"1,850.30",1862.10,1832.80,1842.70,1842.70,4073.00
5/27/2022,"1,848.30",1860.70,1845.90,1851.30,1851.30,30091.00
5/26/2022,"1,840.40",1847.40,1840.40,1847.40,1847.40,123355.00
5/25/2022,"1,846.20",1846.20,1846.20,1846.20,1846.20,-
5/24/2022,"1,852.50",1867.00,1852.50,1865.10,1865.10,33.00
5/23/2022,"1,846.30",1863.00,1845.80,1847.80,1847.80,216.00
5/20/2022,"1,839.10",1841.80,1836.30,1841.80,1841.80,110.00
5/19/2022,"1,810.90",1841.20,1810.70,1841.20,1841.20,138.00
5/18/2022,"1,815.00",1819.70,1805.00,1815.90,1815.90,311.00
5/17/2022,"1,824.90",1828.60,1816.70,1818.20,1818.20,121.00
5/16/2022,"1,790.50",1813.50,1787.00,1813.50,1813.50,34.00
5/13/2022,"1,825.00",1825.00,1807.40,1807.40,1807.40,335.00
5/12/2022,"1,849.80",1851.90,1822.20,1823.80,1823.80,153.00
5/11/2022,"1,841.50",1852.60,1841.00,1852.60,1852.60,892.00
5/10/2022,"1,839.90",1839.90,1839.90,1839.90,1839.90,1540.00
5/9/2022,"1,866.60",1867.50,1854.00,1857.10,1857.10,304.00
5/6/2022,"1,874.70",1890.30,1871.50,1881.20,1881.20,214.00
5/5/2022,"1,897.00",1904.30,1874.00,1874.00,1874.00,80.00
5/4/2022,"1,867.00",1867.00,1867.00,1867.00,1867.00,1.00
5/3/2022,"1,868.80",1868.80,1868.80,1868.80,1868.80,466.00
5/2/2022,"1,896.70",1896.80,1853.00,1861.80,1861.80,385.00
4/29/2022,"1,902.70",1918.20,1902.40,1909.30,1909.30,132.00
4/28/2022,"1,883.80",1893.00,1872.90,1888.70,1888.70,513.00
4/27/2022,"1,897.80",1900.60,1882.20,1885.90,1885.90,1786.00
4/26/2022,"1,900.50",1909.10,1894.00,1901.40,1901.40,302.00
4/25/2022,"1,925.00",1925.00,1889.30,1893.20,1893.20,748.00
4/22/2022,"1,949.60",1950.40,1930.20,1931.00,1931.00,178.00
4/21/2022,"1,942.50",1944.90,1942.50,1944.90,1944.90,4.00
4/20/2022,"1,945.50",1953.60,1945.50,1952.30,1952.30,621.00
4/19/2022,"1,973.80",1978.30,1945.70,1955.70,1955.70,130.00
4/18/2022,"1,973.40",1997.10,1972.80,1982.90,1982.90,196.00
4/14/2022,"1,977.20",1978.70,1963.00,1970.90,1970.90,101.00
4/13/2022,"1,969.50",1981.00,1969.50,1981.00,1981.00,204.00
4/12/2022,"1,952.50",1977.10,1950.60,1972.10,1972.10,246.00
4/11/2022,"1,946.60",1968.40,1941.80,1944.30,1944.30,163.00
